Ranking,Country Code,Location,Consumption(GWh/yr),Year,Source,Population,As of,Consumption per capita kWh/yr,Watts
158,GUY,Guyana,"1,000",2021[4],EIA,"804,571",2021[5],1243,142
182,HTI,Haiti,400,2021[4],EIA,"11,447,575",2021[5],35,4
109,HND,Honduras,"8,200",2021[4],EIA,"10,278,346",2021[5],798,91
55,HKG,Hong Kong,"46,000",2021[4],EIA,"7,494,580",2021[5],6138,700
57,HUN,Hungary,"44,000",2021[4],EIA,"9,709,784",2021[5],4532,517
73,ISL,Iceland,"19,000",2021[4],EIA,"370,338",2021[5],51304,5853
3,IND,India,"1,443,000",2021[4],EIA,"1,407,563,904",2021[5],1025,117
17,IDN,Indonesia,"282,000",2021[4],EIA,"273,753,184",2021[5],1030,117
12,IRN,Iran,"302,000",2021[4],EIA,"87,923,432",2021[5],3435,392
50,IRQ,Iraq,"53,000",2021[4],EIA,"43,533,592",2021[5],1217,139
62,IRL,Ireland,"33,000",2021[4],EIA,"4,986,525",2021[5],6618,755
45,ISR,Israel,"63,000",2021[4],EIA,"8,900,057",2021[5],7079,808
14,ITA,Italy,"300,000",2021[4],EIA,"59,240,336",2021[5],5064,578
110,CIV,Ivory Coast,"8,000",2021[4],EIA,"27,478,250",2021[5],291,33
136,JAM,Jamaica,"3,200",2021[4],EIA,"2,827,701",2021[5],1132,129
5,JPN,Japan,"913,000",2021[4],EIA,"124,612,528",2021[5],7327,836
169,JEY,Jersey,600,2004 est.,EIA,"98,069",2016,6425,733
72,JOR,Jordan,"20,000",2021[4],EIA,"11,148,288",2021[5],1794,205
35,KAZ,Kazakhstan,"97,000",2021[4],EIA,"19,196,468",2021[5],5053,576
104,KEN,Kenya,"9,100",2021[4],EIA,"53,005,616",2021[5],172,20
215,KIR,Kiribati,27.75,2018 est.,EIA,"117,610",2019,236,27
94,PRK,"Korea, North","12,000",2021[4],EIA,"25,971,910",2021[5],462,53
7,KOR,"Korea, South","568,000",2021[4],EIA,"51,830,136",2021[5],10959,1250
125,UNK,Kosovo,"5,600",2021[4],EIA,"1,662,022",2021[5],3369,384
44,KWT,Kuwait,"65,000",2021[4],EIA,"4,250,111",2021[5],15294,1745
95,KGZ,Kyrgyzstan,"12,000",2021[4],EIA,"6,527,742",2021[5],1838,210
123,LAO,Laos,"6,100",2021[4],EIA,"7,425,055",2021[5],822,94
116,LVA,Latvia,"6,900",2021[4],EIA,"1,873,926",2021[5],3682,420
74,LBN,Lebanon,"19,000",2021[4],EIA,"5,592,626",2021[5],3397,388
161,LSO,Lesotho,900,2021[4],EIA,"2,281,464",2021[5],394,45
163,LBR,Liberia,900,2021[4],EIA,"5,193,422",2021[5],173,20
69,LBY,Libya,"27,000",2021[4],EIA,"6,735,280",2021[5],4009,457
187,LIE,Liechtenstein,394,2015 est.,CIA,"38,020",2019,10352,1181
